,path_id,min_slice
0,0,222
1,1,-1
2,2,192
3,3,-1
4,4,184
5,5,-1
6,6,206
7,7,-1
8,8,134
9,9,-1
10,10,12
11,11,-1
12,12,6
13,13,306
14,14,-1
15,15,-1
16,16,-1
17,17,20
18,18,266
19,19,234
20,20,272
21,21,-1
22,22,188
23,23,-1
24,24,-1
25,25,-1
26,26,244
27,27,-1
28,28,278
29,29,-1
30,30,-1
31,31,-1
32,32,296
33,33,290
34,34,210
35,35,278
36,36,-1
37,37,262
38,38,248
39,39,-1
40,40,222
41,41,248
42,42,192
43,43,284
44,45,196
45,46,262
46,49,200
47,51,-1
48,53,-1
49,54,-1
50,56,218
51,57,4
52,58,242
53,59,-1
54,60,0
55,61,78
56,62,188
57,63,10
58,64,-1
59,65,18
60,66,314
61,67,-1
62,68,0
63,69,-1
64,70,-1
65,71,-1
66,72,-1
67,73,-1
68,74,-1
69,76,-1
70,78,272
71,79,-1
72,80,174
73,81,292
74,82,-1
75,83,-1
76,84,188
77,85,-1
78,86,288
79,87,-1
80,88,42
81,89,-1
82,90,202
83,91,-1
84,92,132
85,93,-1
86,94,50
87,95,266
88,96,-1
89,97,-1
90,98,-1
91,100,142
92,101,-1
93,102,-1
94,103,-1
95,104,-1
96,106,-1
97,107,-1
98,108,216
99,110,56
100,112,230
101,114,-1
102,116,162
103,118,152
104,120,258
105,123,46
106,128,46
107,130,4
108,132,14
109,137,0
110,139,30
111,142,-1
112,144,-1
113,148,-1
114,152,-1
115,154,314
116,160,-1
117,164,-1
118,172,-1
119,174,-1
120,176,-1
121,178,310
122,181,-1
123,188,-1
124,210,-1
125,214,316
126,216,-1
127,220,-1
128,224,-1
129,226,-1
130,236,-1
131,238,-1
132,240,-1
133,244,-1
134,260,64
135,262,80
136,266,118
137,268,140
138,270,128
139,272,160
140,274,102
141,276,110
142,278,32
143,280,0
144,282,94
145,284,108
146,286,122
147,288,40
148,290,8
149,292,-1
150,296,4
151,298,164
152,304,230
153,306,14
154,314,48
155,316,20
156,326,250
157,336,272
158,338,72
159,340,212
160,342,136
161,352,56
162,354,294
163,356,82
164,358,180
165,360,-1
166,366,196
167,370,26
168,385,64
169,387,154
170,389,116
171,391,140
172,393,94
173,395,272
174,397,150
175,399,28
176,401,168
177,403,76
178,405,164
179,407,0
180,409,44
181,411,98
182,413,60
183,415,8
184,419,16
185,422,72
186,424,12
187,425,-1
188,426,22
189,427,-1
190,428,32
191,430,4
192,431,-1
193,432,0
194,433,-1
195,434,90
196,435,-1
197,436,56
198,437,-1
199,438,108
200,439,-1
201,440,44
202,441,-1
203,443,-1
204,445,306
205,447,-1
206,449,170
207,451,166
208,452,-1
209,454,-1
210,456,106
211,457,-1
212,458,-1
213,460,-1
214,461,-1
215,462,-1
216,463,-1
217,465,312
218,467,-1
219,469,-1
220,470,82
221,471,272
222,473,-1
223,474,102
224,475,-1
225,477,12
226,479,58
227,481,38
228,483,22
229,485,4
230,487,0
231,489,152
232,490,-1
233,492,-1
234,493,124
235,494,-1
236,495,128
237,496,292
238,498,-1
239,500,-1
240,502,-1
241,504,300
242,506,-1
243,507,214
244,508,-1
245,511,4
246,512,16
247,514,30
248,516,0
249,519,10
250,520,64
251,521,-1
252,522,68
253,523,-1
254,524,78
255,525,-1
256,526,108
257,527,-1
258,528,90
259,530,128
260,532,136
261,534,240
262,536,18
263,537,-1
264,538,38
265,539,-1
266,540,10
267,541,-1
268,542,156
269,543,-1
270,544,112
271,545,-1
272,546,134
273,547,-1
274,548,72
275,549,-1
276,550,54
277,551,-1
278,552,4
279,553,-1
280,554,92
281,555,-1
282,556,0
283,557,-1
284,558,28
285,559,-1
286,596,46
287,597,-1
288,598,0
289,599,-1
290,600,306
291,601,-1
292,602,26
293,603,-1
294,604,-1
295,605,-1
296,606,12
297,607,-1
298,608,82
299,609,216
300,610,120
301,611,-1
302,612,228
303,613,158
304,614,-1
305,615,-1
306,616,100
307,617,248
308,618,202
309,619,238
310,620,306
311,621,68
312,622,-1
313,623,106
314,624,-1
315,625,138
316,626,-1
317,627,-1
318,628,226
319,629,-1
320,630,250
321,631,-1
322,632,-1
323,633,-1
324,635,222
325,636,-1
326,637,180
327,638,72
328,640,-1
329,642,-1
330,644,24
331,645,8
332,646,6
333,647,0
334,648,0
335,650,62
336,652,42
337,654,14
338,687,-1
339,688,-1
340,692,-1
341,694,-1
342,696,22
343,700,40
344,703,-1
345,704,-1
346,705,26
347,707,-1
348,708,30
349,710,6
350,712,22
351,713,64
352,716,250
353,720,0
354,728,202
355,732,-1
356,738,76
357,740,24
358,743,114
359,744,8
360,746,94
361,748,16
362,751,46
363,752,34
364,754,0
365,756,60
366,759,4
367,761,138
368,762,162
369,764,166
370,766,198
371,768,206
372,770,176
373,774,188
374,776,192
375,781,214
376,793,248
377,801,-1
378,802,0
379,804,20
380,805,286
381,806,30
382,808,56
383,809,270
384,810,78
385,812,102
386,813,116
387,814,12
388,816,40
389,817,-1
390,818,4
391,820,126
392,821,-1
393,822,150
394,824,8
395,825,260
396,848,-1
397,852,180
398,856,-1
399,860,78
400,861,272
401,862,46
402,863,302
403,864,136
404,865,-1
405,866,62
406,867,-1
407,868,0
408,869,-1
409,870,32
410,871,-1
411,872,96
412,873,-1
413,874,8
414,875,280
415,876,20
416,877,288
417,879,260
418,880,160
419,881,266
420,882,116
421,883,-1
422,896,54
423,897,66
424,898,8
425,899,100
426,900,18
427,901,80
428,902,38
429,903,112
430,904,28
431,905,90
432,906,0
433,907,72
434,908,56
435,909,16
436,910,0
437,911,8
438,912,76
439,913,0
440,914,8
441,915,4
442,916,22
443,917,46
444,918,38
445,919,28
446,924,132
447,928,-1
448,936,-1
449,940,120
450,944,24
451,945,94
452,947,32
453,948,0
454,949,46
455,950,8
456,952,4
457,953,22
458,954,60
459,956,36
460,959,138
461,960,94
462,962,116
463,964,0
464,968,8
465,972,16
466,974,4
467,976,118
468,978,8
469,980,34
470,982,14
471,984,74
472,986,0
473,988,74
474,990,54
475,992,56
476,994,72
477,996,44
478,1000,20
479,1004,174
480,1005,184
481,1006,220
482,1007,204
483,1008,202
484,1010,240
485,1011,188
486,1012,186
487,1015,196
488,1020,-1
489,1024,-1
490,1028,-1
491,1030,-1
492,1056,84
493,1057,22
494,1058,8
495,1059,6
496,1060,0
497,1061,0
498,1062,26
499,1063,14
500,1064,44
501,1065,54
502,1066,64
503,1067,34
504,1070,146
505,1074,142
506,1086,-1
507,1104,26
508,1105,22
509,1106,50
510,1107,10
511,1108,6
512,1109,36
513,1110,38
514,1111,0
515,1112,16
516,1113,4
517,1114,0
518,1115,50
519,1116,80
520,1117,126
521,1118,102
522,1119,-1
523,1120,12
524,1121,132
525,1122,0
526,1123,244
527,1124,124
528,1125,-1
529,1126,42
530,1127,140
531,1128,30
532,1129,168
533,1130,146
534,1131,262
535,1132,60
536,1133,-1
537,1134,20
538,1135,122
539,1136,168
540,1137,154
541,1138,6
542,1139,-1
543,1140,8
544,1141,228
545,1142,0
546,1143,-1
547,1144,4
548,1145,216
549,1146,14
550,1147,-1
551,1148,24
552,1149,280
553,1150,104
554,1151,298
555,1152,90
556,1153,196
557,1154,54
558,1155,-1
559,1156,34
560,1157,206
561,1158,66
562,1159,-1
563,1160,44
564,1161,-1
565,1162,78
566,1163,192
567,1190,-1
568,1201,-1
569,1207,-1
570,1216,146
571,1223,-1
572,1224,228
573,1240,-1
